yy	mm	dd	i	d	PCR	re
2020	1	15	1	0		
2020	1	24	2	0		
2020	1	25	3	0		
2020	1	26	4	0		
2020	1	28	7	0		
2020	1	29	8	0		
2020	1	30	12	0		
2020	1	31	13	0		
2020	2	 1	16	0		
2020	2	 4	19	0		
2020	2	 5	21	0		
2020	2	11	25	0		
2020	2	13	30	1		
2020	2	14	37	1		
2020	2	15	43	1		
2020	2	16	49	1		
2020	2	17	59	1	1251	16
2020	2	18	66	1	1287	16
2020	2	19	73	1	1296	18
2020	2	20	84	1	1432	20
2020	2	21	93	1	1522	20
2020	2	22	105	1	1607	21
2020	2	23	132	1	1703	21
2020	2	24	144	1	1742	23
2020	2	25	156	1	1846	27
2020	2	26	164	1	1890	32
2020	2	27	186	3	2058	40
2020	2	28	210	4	2209	41
2020	2	29	230	5	2339	42
2020	3	 1	239	5	2517	42
2020	3	 2	254	6	2613	43
2020	3	 3	268	6	2684	46
2020	3	 4	284	6	6519	48
2020	3	 5	317	6	6777	49
2020	3	 6	348	6	7436	69
2020	3	 7	407	6	8029	62
2020	3	 8	454	6	8176	66
2020	3	 9	487	7	8286	86
2020	3	10	513	9	9600	86
2020	3	11	567	12	10024	99
2020	3	12	619	15	10205	104
2020	3	13	674	19	12060	115
2020	3	14	714	21	12919	122
2020	3	15	777	22	13026	134
2020	3	16	809	24	13068	139
2020	3	17	824	28	15151	144
2020	3	18	868	29	15354	161
2020	3	19	907	31	14901	215
2020	3	20	943	33	18844	227
2020	3	21	996	35	18963	232
2020	3	22	1046	36	20228	272
2020	3	23	1089	41	20340	285
2020	3	24	1128	42	24430	301
2020	3	25	1193	43	23521	310
2020	3	26	1292	45	25171	359
2020	3	27	1387	46	27005	372
2020	3	28	1499	49	28464	404
2020	3	29	1693	52	28760	424
2020	3	30	1866	54	28966	424
2020	3	31	1953	56	32497	424
2020	4	1	2178	57	34508	472
2020	4	2	2381	60	34510	505
2020	4	3	2617	63	39446	514
2020	4	4	2935	69	42882	575
2020	4	5	3271	70	44639	584
2020	4	6	3654	73	46172	592
2020	4	7	3906	80	55311	622
