Month	Day	Hokkaido	Aomori	Iwate	Miyagi	Akita	Yamagata	Fukushima	Ibaraki	Tochigi	Gunma	Saitama	Chiba	Tokyo	Kanagawa	Niigata	Toyama	Ishikawa	Fukui	Yamanashi	Nagano	Gifu	Shizuoka	Aichi	Mie	Shiga	Kyoto	Osaka	Hyogo	Nara	Wakayama	Tottori	Shimane	Okayama	Hiroshima	Yamaguchi	Tokushima	Kagawa	Ehime	Kochi	Fukuoka	Saga	Nagasaki	Kumamoto	Oita	Miyazaki	Kagoshima	Okinawa	Total
3	30	7	0	0	0	0	0	0	0	0	1	3	1	6	6	0	0	0	0	0	0	0	0	19	0	0	0	2	10	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56
3	31	7	0	0	0	0	0	0	0	0	1	3	1	6	6	0	0	0	0	0	0	0	0	19	0	0	0	2	11	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57
4	1	7	0	0	0	0	0	0	1	0	1	4	1	7	6	0	0	0	0	0	0	0	0	19	0	0	0	2	11	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60
4	2	8	0	0	0	0	0	0	2	0	1	4	1	7	6	0	0	0	1	0	0	0	0	19	0	0	0	2	11	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63
4	3	8	0	0	0	0	0	0	2	0	1	4	1	12	6	0	0	0	1	0	0	0	0	19	0	0	0	2	11	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	69
4	4	8	0	0	0	0	0	0	2	0	1	4	1	12	6	0	0	0	1	0	0	1	0	19	0	0	0	2	11	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	70
4	5	8	0	0	0	0	0	0	2	0	1	4	1	12	6	0	0	0	2	0	0	1	0	20	0	0	0	3	11	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	73
4	6	9	0	0	0	0	0	0	2	0	1	4	1	16	6	0	0	0	2	0	0	1	0	21	0	0	0	3	12	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	80
4	7	9	0	0	0	0	0	0	2	0	1	4	1	16	7	0	0	0	2	0	0	1	0	21	0	0	0	3	12	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	81
4	8	9	0	0	0	0	0	0	2	0	1	4	1	18	6	0	0	0	2	0	0	1	0	21	0	0	0	6	12	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	85
4	9	10	0	0	0	0	0	0	2	0	1	5	1	18	6	0	0	0	2	0	0	1	0	21	0	0	1	6	12	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	88
4	10	11	0	0	0	0	0	0	3	0	1	5	2	19	6	0	0	0	2	0	0	1	0	22	0	0	1	6	12	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	94
4	11	11	0	0	0	0	0	0	3	0	2	5	4	19	6	0	0	0	2	0	0	1	0	22	0	0	1	6	13	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	98
4	12	11	0	0	0	0	0	0	3	0	2	5	4	19	7	0	0	0	2	0	0	1	0	22	0	0	3	6	13	0	1	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	102
4	13	11	0	0	0	0	0	0	3	0	2	5	4	19	12	0	0	0	2	0	0	1	0	23	0	0	3	6	14	0	1	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	109
4	14	12	0	0	0	0	0	0	3	0	2	7	5	19	14	0	0	1	2	0	0	1	0	24	0	0	3	7	15	0	1	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	119
4	15	13	0	0	0	0	0	0	5	0	4	7	5	19	15	0	0	4	2	0	0	1	0	24	0	0	3	8	15	1	1	0	0	0	0	0	0	0	2	0	6	0	0	1	0	0	0	0	136
4	16	14	0	0	0	0	0	0	5	0	4	9	6	19	16	0	0	4	2	0	0	1	0	24	1	1	3	8	17	1	1	0	0	0	0	0	0	0	2	1	6	0	0	1	1	0	0	1	148
4	17	14	0	0	0	0	0	0	5	0	4	9	6	19	17	0	0	4	2	0	0	2	0	24	1	1	3	9	17	1	1	0	0	0	0	0	0	0	2	1	9	0	0	1	1	0	0	1	154
4	18	16	0	0	0	0	0	0	5	0	4	9	7	19	16	0	0	4	4	0	0	2	0	24	1	1	3	10	17	1	1	0	0	0	0	0	0	0	3	1	10	0	0	1	1	0	0	1	161
4	19	18	0	0	0	0	0	0	5	0	5	9	8	19	17	0	1	4	4	0	0	3	0	25	1	1	3	12	17	1	1	0	0	0	0	0	0	0	3	1	10	0	0	1	1	0	0	1	171
4	20	18	0	0	0	0	0	0	6	0	5	9	8	19	19	0	2	4	4	0	0	3	0	27	1	1	5	13	17	1	1	0	0	0	0	0	0	0	3	2	13	0	0	1	1	0	0	3	186
4	21	21	0	0	0	0	0	0	6	0	9	10	11	19	19	0	2	5	4	0	0	5	0	27	1	1	6	15	17	1	1	0	0	0	0	0	0	0	3	2	13	0	0	1	1	0	0	3	203
4	22	22	0	0	0	0	0	0	6	0	9	10	11	19	23	0	2	5	4	0	0	5	0	29	1	1	7	17	17	1	1	0	0	0	0	0	0	0	3	2	13	0	0	1	1	0	0	3	213
4	23	25	0	0	0	0	0	0	6	0	9	14	16	19	24	0	3	5	5	0	0	5	0	29	1	1	7	19	17	1	1	0	0	0	1	0	0	0	3	2	13	0	1	1	1	0	0	3	232
4	24	25	0	-	0	0	0	0	6	0	9	15	18	19	24	0	3	5	5	0	0	7	0	30	1	1	7	25	17	1	1	0	0	0	1	0	0	0	3	2	15	0	1	1	1	0	0	4	247
4	25	25	0	0	0	0	0	0	6	0	9	15	19	19	25	0	3	5	5	0	0	7	0	30	1	1	7	27	17	1	1	0	0	0	1	0	0	0	3	2	15	0	1	1	1	0	0	4	251
4	26	25	0	0	0	0	0	0	6	0	9	16	19	19	26	0	3	5	5	0	0	7	0	30	1	1	7	27	17	1	1	0	0	0	1	0	0	0	3	2	15	0	1	1	1	0	0	4	253
