Month	Day	Hokkaido	Aomori	Iwate	Miyagi	Akita	Yamagata	Fukushima	Ibaraki	Tochigi	Gunma	Saitama	Chiba	Tokyo	Kanagawa	Niigata	Toyama	Ishikawa	Fukui	Yamanashi	Nagano	Gifu	Shizuoka	Aichi	Mie	Shiga	Kyoto	Osaka	Hyogo	Nara	Wakayama	Tottori	Shimane	Okayama	Hiroshima	Yamaguchi	Tokushima	Kagawa	Ehime	Kochi	Fukuoka	Saga	Nagasaki	Kumamoto	Oita	Miyazaki	Kagoshima	Okinawa	Total
3	30	177	7	0	6	4	0	2	20	12	18	84	160	449	115	31	1	11	15	5	8	21	4	170	11	6	54	217	136	11	17	0	0	4	6	6	1	1	4	15	23	1	2	11	28	3	1	9	1887
3	31	177	8	0	7	6	1	4	24	14	19	98	164	527	120	31	3	13	16	6	8	23	6	176	11	7	68	245	147	11	17	0	0	4	6	6	3	2	9	17	43	2	2	14	29	3	1	9	2107
4	1	182	8	0	7	6	1	6	24	14	20	101	175	593	138	31	5	15	22	8	9	22	6	181	11	8	71	279	161	15	18	0	0	4	6	6	3	2	9	20	52	4	5	15	29	3	2	9	2306
4	2	185	9	0	12	7	1	8	26	14	20	113	181	690	153	31	8	16	31	9	9	22	6	186	12	8	79	312	167	19	20	0	0	7	6	6	3	2	11	21	62	4	5	15	30	3	3	9	2541
4	3	190	11	0	13	9	1	9	54	14	24	131	192	779	181	32	8	24	40	9	10	39	8	198	12	14	91	347	172	21	21	0	0	9	8	7	3	2	11	21	66	5	7	15	31	4	3	9	2855
4	4	193	11	0	20	10	6	14	59	14	25	153	219	897	197	32	10	32	44	11	11	43	10	216	12	17	105	388	182	24	21	0	0	10	13	7	3	2	12	24	67	6	8	16	31	4	3	9	3191
4	5	194	11	0	23	11	10	16	64	14	26	174	238	1040	226	32	10	43	51	13	12	50	10	227	13	18	111	409	195	25	25	0	0	11	16	8	3	2	12	31	109	8	9	20	31	6	3	9	3569
4	6	194	11	0	26	11	13	16	71	14	26	195	253	1123	261	32	11	45	57	14	14	51	10	237	13	18	119	429	201	26	27	0	0	11	16	12	3	2	14	34	113	8	9	20	32	7	3	15	3817
4	7	198	11	0	27	11	19	24	77	15	29	209	284	1203	279	34	12	51	57	19	14	51	10	258	13	18	139	482	216	28	28	0	0	12	19	13	3	2	23	36	136	9	9	21	32	7	3	27	4168
4	8	208	12	0	34	11	22	29	77	21	29	242	317	1347	327	37	14	66	67	22	19	69	15	278	13	24	149	525	216	30	29	0	0	15	23	17	3	3	25	37	161	11	12	23	41	12	3	32	4667
4	9	226	14	0	36	11	27	33	81	31	33	271	342	1528	375	39	16	72	72	24	21	76	16	299	15	26	159	589	273	34	32	0	1	16	25	17	3	3	26	47	187	11	14	23	41	16	3	42	5246
4	10	239	14	0	37	12	27	36	82	31	35	325	375	1717	425	41	23	92	76	27	28	82	34	313	15	34	168	697	316	37	33	1	2	16	25	17	3	4	28	52	224	12	14	23	42	16	3	49	5902
4	11	255	22	0	46	13	32	37	91	32	79	345	411	1914	465	41	23	104	86	32	28	91	39	340	17	38	181	767	358	39	33	1	6	16	31	19	3	4	30	54	332	12	14	23	42	17	4	49	6616
4	12	267	22	0	52	15	34	38	109	35	90	386	455	2080	478	42	30	113	88	35	29	105	41	319	17	38	193	812	375	41	34	1	7	16	56	23	3	8	30	60	362	13	14	28	42	17	4	66	7123
4	13	272	22	0	54	15	35	38	110	36	91	414	474	2171	572	42	49	121	92	35	34	112	46	328	17	40	205	836	384	44	34	1	8	16	57	24	3	16	37	60	373	13	14	28	43	17	4	72	7509
4	14	279	22	0	64	16	39	39	116	38	97	433	490	2332	594	45	54	131	92	36	35	127	46	338	19	51	210	895	403	47	35	1	10	16	66	25	3	20	39	60	403	15	14	29	43	17	4	76	7964
4	15	302	22	0	65	16	45	40	119	39	107	479	525	2457	614	46	54	140	100	39	36	128	47	350	20	52	215	969	423	53	37	1	13	16	67	28	3	20	40	62	433	17	15	31	50	17	4	86	8442
4	16	336	22	0	75	16	50	49	123	42	109	535	539	2606	673	47	65	146	103	43	45	132	48	364	26	57	225	1021	453	54	38	1	14	18	118	29	3	21	41	62	459	15	16	31	50	17	4	86	9027
4	17	370	22	0	79	16	58	52	131	44	114	575	609	2807	710	53	69	160	104	46	47	136	51	374	32	68	235	1076	480	56	39	1	15	18	124	30	3	24	41	63	476	16	17	35	54	17	6	101	9654
4	18	407	22	0	83	16	60	60	135	44	120	610	643	2988	754	56	79	173	106	48	47	137	50	391	35	70	242	1164	502	60	40	3	15	18	129	30	3	24	44	64	500	16	17	35	54	17	7	101	10219
4	19	434	22	0	83	16	61	62	139	46	122	642	661	3095	784	56	92	178	112	49	52	139	52	401	36	71	251	1212	513	62	46	3	16	19	132	30	3	25	45	68	516	17	17	39	54	17	8	110	10608
4	20	451	22	0	84	16	64	64	143	49	124	662	683	3197	802	56	114	180	113	49	52	139	52	406	39	72	259	1297	524	64	46	3	16	19	137	30	3	26	46	69	524	17	17	40	55	17	10	121	10973
