Month	Day	Hokkaido	Aomori	Iwate	Miyagi	Akita	Yamagata	Fukushima	Ibaraki	Tochigi	Gunma	Saitama	Chiba	Tokyo	Kanagawa	Niigata	Toyama	Ishikawa	Fukui	Yamanashi	Nagano	Gifu	Shizuoka	Aichi	Mie	Shiga	Kyoto	Osaka	Hyogo	Nara	Wakayama	Tottori	Shimane	Okayama	Hiroshima	Yamaguchi	Tokushima	Kagawa	Ehime	Kochi	Fukuoka	Saga	Nagasaki	Kumamoto	Oita	Miyazaki	Kagoshima	Okinawa	Total
3	30	121	0	0	1	2	0	0	0	2	0	15	19	36	20	7	0	5	0	2	3	1	2	42	2	1	13	48	18	8	13	0	0	0	1	2	1	0	2	12	2	0	0	3	1	1	0	2	408
3	31	124	0	0	1	2	0	0	0	2	0	15	19	37	27	10	0	5	0	2	3	2	3	47	2	2	15	70	18	8	13	0	0	0	1	3	1	0	2	12	2	0	1	3	1	1	0	2	456
4	1	131	0	0	1	2	0	1	0	2	0	20	23	47	28	10	0	5	0	2	3	2	3	47	2	3	16	70	18	8	13	0	0	0	1	3	1	0	2	12	5	0	1	3	1	1	0	2	489
4	2	131	0	0	1	2	0	1	0	2	0	21	26	48	28	10	0	5	0	2	3	2	3	47	2	3	18	71	18	8	14	0	0	0	1	3	1	0	2	12	5	0	1	3	1	1	0	2	498
4	3	130	0	0	1	2	0	1	1	3	0	23	31	48	32	11	0	5	0	2	4	2	3	48	4	3	18	73	51	8	15	0	0	0	1	3	1	0	3	12	5	0	2	3	6	2	0	2	559
4	4	130	0	0	1	2	0	1	1	3	1	23	31	48	32	11	0	5	0	2	4	2	3	48	4	3	18	80	52	8	15	0	0	0	1	3	1	0	3	12	5	0	2	3	6	2	0	2	568
4	5	130	0	0	1	2	0	1	1	3	1	23	32	50	32	11	0	5	0	2	4	2	3	48	4	3	18	82	52	8	15	0	0	0	1	3	1	0	3	12	6	1	2	3	6	2	0	2	575
4	6	141	0	0	1	2	0	1	1	3	1	23	32	58	32	11	0	5	1	2	4	2	3	52	4	3	18	83	53	8	15	0	0	0	1	3	1	0	4	12	6	1	2	3	8	3	0	2	605
4	7	143	0	0	1	2	0	1	1	3	1	23	32	58	35	15	0	5	1	2	3	3	3	52	4	3	18	83	53	8	15	0	0	0	1	3	1	0	4	12	7	1	2	3	8	3	0	2	615
4	8	146	0	0	1	2	0	1	4	5	2	23	32	57	37	18	0	5	1	2	3	3	3	52	5	3	23	116	53	8	15	0	0	0	1	3	1	0	4	12	7	1	2	3	8	3	0	3	668
4	9	145	0	0	1	2	0	2	4	5	4	25	35	57	37	17	0	5	3	2	3	5	3	53	5	3	29	118	58	8	15	0	0	0	3	3	1	0	4	12	7	1	2	4	10	3	0	3	697
4	10	148	3	0	1	5	0	3	7	5	5	25	37	57	44	24	0	5	6	2	3	5	3	63	5	3	29	121	59	8	15	0	0	1	3	3	1	0	4	12	7	1	2	4	10	3	0	3	745
4	11	158	3	0	1	5	0	3	8	5	5	25	38	57	44	24	0	5	6	2	3	5	3	63	5	3	33	121	59	8	17	0	0	1	3	3	3	1	4	13	7	1	2	4	10	3	0	3	767
4	12	158	3	0	2	5	0	3	9	5	5	26	39	57	44	24	0	5	6	2	3	5	3	63	9	3	33	127	59	8	17	0	0	1	3	3	3	1	4	14	7	1	2	4	10	3	0	3	782
4	13	161	4	0	5	5	0	3	10	7	5	26	39	57	55	25	1	5	7	2	4	5	3	63	11	5	33	147	59	8	17	0	0	1	3	5	3	1	4	16	7	1	2	5	10	3	0	3	836
4	14	161	5	0	5	5	0	3	10	7	5	27	45	59	55	25	1	5	8	2	4	6	3	63	11	5	34	152	61	8	17	0	0	1	3	5	3	1	4	16	32	1	2	5	13	3	0	3	884
4	15	161	5	0	6	5	0	3	10	7	5	28	45	59	55	25	1	5	8	2	4	12	3	66	11	5	37	155	61	9	19	0	0	1	3	5	3	1	4	16	45	1	2	5	13	4	0	3	918
4	16	163	5	0	8	5	0	3	10	8	5	32	51	59	55	29	2	5	8	9	4	16	5	66	11	8	39	175	63	9	19	0	0	1	3	5	3	1	4	18	52	1	2	5	17	4	1	6	995
4	17	171	5	0	8	5	0	3	11	8	5	32	54	59	54	29	2	5	8	9	4	16	5	66	11	10	53	182	63	12	19	0	0	1	8	5	3	1	4	18	66	1	2	6	17	4	1	6	1052
4	18	171	6	0	8	5	10	3	14	8	5	32	67	59	68	29	2	5	8	9	4	16	8	66	11	10	53	220	65	12	19	0	0	3	11	5	3	1	5	18	66	1	2	6	17	4	1	6	1142
4	19	171	6	0	8	5	10	3	16	8	14	32	71	59	73	29	4	5	23	9	4	16	8	66	11	10	70	233	65	14	20	0	0	3	11	11	3	1	8	18	66	1	2	6	18	4	1	6	1222
4	20	171	9	0	8	5	15	14	16	8	14	32	77	59	88	29	8	14	26	9	6	24	8	66	11	13	77	233	65	14	20	0	0	4	12	15	3	1	9	22	87	1	4	7	19	4	1	11	1339
4	21	179	10	0	14	5	17	15	17	8	14	32	80	59	91	32	8	17	26	9	6	24	12	66	11	13	86	253	65	14	22	0	0	4	12	15	3	1	9	22	87	1	5	7	19	4	2	11	1407
4	22	188	10	0	14	5	17	15	18	8	14	34	80	59	111	33	8	17	26	23	6	24	13	67	11	13	88	255	65	14	22	0	0	4	13	15	3	2	16	28	88	2	5	7	19	4	2	11	1477
4	23	195	14	0	23	7	17	17	21	8	14	34	82	59	114	33	8	17	26	22	8	24	13	67	11	13	93	255	67	14	23	0	2	5	14	15	3	4	16	28	92	2	5	8	26	7	2	11	1539
4	24	196	14	0	29	7	17	19	24	13	14	34	95	59	123	33	9	16	34	22	8	24	13	66	11	13	93	246	68	14	23	0	2	5	14	16	3	4	20	28	136	6	6	9	26	7	3	11	1633
4	25	201	14	0	31	7	32	19	24	13	14	34	97	59	120	33	9	16	33	22	8	36	13	66	16	22	137	246	72	14	24	1	2	5	14	18	3	5	20	28	138	6	6	9	26	7	3	11	1734
4	26	202	14	0	31	7	32	19	24	13	15	36	97	59	120	32	9	16	33	22	17	57	13	66	16	22	142	252	77	14	27	1	2	5	15	18	3	5	24	28	148	6	6	11	26	8	3	11	1804
4	27	202	14	0	32	7	38	19	31	13	15	42	98	59	122	32	9	16	63	22	17	57	13	66	16	22	140	260	85	14	27	1	2	5	16	18	3	5	24	28	161	6	8	12	27	9	4	23	1903
4	28	202	14	0	32	7	38	19	31	13	15	42	101	59	150	32	9	22	63	23	17	65	24	66	16	22	140	274	80	14	27	1	2	5	20	23	3	6	24	28	170	6	9	12	27	10	4	24	1991
4	29	209	14	0	32	7	38	19	33	13	15	49	102	59	150	32	9	22	64	24	17	65	24	67	19	35	156	281	81	14	28	1	3	5	20	24	3	7	24	28	170	6	9	12	28	10	4	24	2056
4	30	209	14	0	32	7	38	19	35	16	15	49	103	59	168	32	9	22	69	24	17	65	24	75	19	35	159	551	81	14	28	1	7	10	29	24	3	7	25	28	170	7	9	13	30	11	4	24	2390
5	1	248	14	0	50	13	48	19	35	16	15	52	105	59	172	32	9	23	69	29	17	70	24	75	19	35	159	555	83	14	28	1	7	10	29	24	3	7	25	49	170	7	9	13	31	11	4	24	2511
5	2	248	14	0	61	13	50	19	38	16	15	52	105	59	177	32	38	23	75	29	23	79	24	75	19	35	168	557	86	38	31	1	7	10	29	24	3	7	27	49	171	7	9	13	31	11	4	24	2626
5	3	248	14	0	61	13	53	19	45	16	36	54	105	59	184	32	37	23	75	29	23	79	24	75	19	35	176	575	90	38	35	1	7	10	35	24	3	9	31	49	173	9	10	13	32	11	4	24	2717
5	4	254	14	0	61	13	54	19	61	22	36	54	111	59	185	32	37	23	78	29	28	81	24	75	19	35	176	576	90	38	35	1	7	10	35	24	3	11	31	49	173	10	10	13	32	11	4	24	2767
5	5	286	15	0	65	13	54	34	69	25	36	60	136	73	185	32	37	23	78	29	28	95	24	75	20	36	185	627	96	38	38	1	9	10	37	24	3	11	32	49	284	10	10	13	33	11	4	24	3077
