"",3月30日(日),対前日比,うち現在は入院等,うち退院,うち死亡,,,
"東京都",449,25,407,91%,36,8%,6,1%
"大阪府",217,8,167,77%,48,22%,2,1%
"北海道",177,1,49,28%,121,68%,7,4%
"愛知県",170,3,109,64%,42,25%,19,11%
"千葉県",160,0,140,88%,19,12%,1,1%
"兵庫県",136,4,108,79%,18,13%,10,7%
"神奈川県",115,0,89,77%,20,17%,6,5%
"埼玉県",84,1,66,79%,15,18%,3,4%
"京都府",54,7,41,76%,13,24%,0,0%
"新潟県",31,0,24,77%,7,23%,0,0%
"大分県",28,0,27,96%,1,4%,0,0%
"福岡県",23,1,21,91%,2,9%,0,0%
"岐阜県",21,0,20,95%,1,5%,0,0%
"茨城県",20,4,20,100%,0,0%,0,0%
"群馬県",18,0,17,94%,0,0%,1,6%
"和歌山県",17,0,3,18%,13,76%,1,6%
"福井県",15,2,15,100%,0,0%,0,0%
"高知県",15,1,3,20%,12,80%,0,0%
"栃木県",12,0,10,83%,2,17%,0,0%
"石川県",11,2,6,55%,5,45%,0,0%
"三重県",11,2,9,82%,2,18%,0,0%
"熊本県",11,1,8,73%,3,27%,0,0%
"奈良県",11,0,3,27%,8,73%,0,0%
"沖縄県",9,0,7,78%,2,22%,0,0%
"長野県",8,0,5,63%,3,38%,0,0%
"青森県",7,0,7,100%,0,0%,0,0%
"宮城県",6,2,5,83%,1,17%,0,0%
"山口県",6,0,4,67%,2,33%,0,0%
"滋賀県",6,0,5,83%,1,17%,0,0%
"広島県",6,0,5,83%,1,17%,0,0%
"山梨県",5,1,3,60%,2,40%,0,0%
"岡山県",4,1,4,100%,0,0%,0,0%
"秋田県",4,0,2,50%,2,50%,0,0%
"静岡県",4,0,2,50%,2,50%,0,0%
"愛媛県",4,0,2,50%,2,50%,0,0%
"宮崎県",3,0,2,67%,1,33%,0,0%
"福島県",2,0,2,100%,0,0%,0,0%
"長崎県",2,0,2,100%,0,0%,0,0%
"富山県",1,1,1,100%,0,0%,0,0%
"徳島県",1,0,0,0%,1,100%,0,0%
"香川県",1,0,1,100%,0,0%,0,0%
"佐賀県",1,0,1,100%,0,0%,0,0%
"鹿児島県",1,0,1,100%,0,0%,0,0%
"総計",1887,67,1423,75%,408,22%,56,3%
