"",3月31日(火),対前日比,うち現在は入院等,うち退院,うち死亡,,,
"東京都",527,78,484,92%,37,7%,6,1%
"大阪府",245,28,173,71%,70,29%,2,1%
"北海道",177,0,46,26%,124,70%,7,4%
"愛知県",176,6,110,63%,47,27%,19,11%
"千葉県",164,4,144,88%,19,12%,1,1%
"兵庫県",147,11,118,80%,18,12%,11,7%
"神奈川県",120,5,87,73%,27,23%,6,5%
"埼玉県",98,14,80,82%,15,15%,3,3%
"京都府",68,14,53,78%,15,22%,0,0%
"福岡県",43,20,41,95%,2,5%,0,0%
"新潟県",31,0,21,68%,10,32%,0,0%
"大分県",29,1,28,97%,1,3%,0,0%
"茨城県",24,4,24,100%,0,0%,0,0%
"岐阜県",23,2,21,91%,2,9%,0,0%
"群馬県",19,1,18,95%,0,0%,1,5%
"高知県",17,2,5,29%,12,71%,0,0%
"和歌山県",17,0,3,18%,13,76%,1,6%
"福井県",16,1,16,100%,0,0%,0,0%
"熊本県",14,3,11,79%,3,21%,0,0%
"栃木県",14,2,12,86%,2,14%,0,0%
"石川県",13,2,8,62%,5,38%,0,0%
"奈良県",11,0,3,27%,8,73%,0,0%
"三重県",11,0,9,82%,2,18%,0,0%
"愛媛県",9,5,7,78%,2,22%,0,0%
"沖縄県",9,0,7,78%,2,22%,0,0%
"青森県",8,1,8,100%,0,0%,0,0%
"長野県",8,0,5,63%,3,38%,0,0%
"宮城県",7,1,6,86%,1,14%,0,0%
"滋賀県",7,1,5,71%,2,29%,0,0%
"秋田県",6,2,4,67%,2,33%,0,0%
"静岡県",6,2,3,50%,3,50%,0,0%
"山梨県",6,1,4,67%,2,33%,0,0%
"山口県",6,0,3,50%,3,50%,0,0%
"広島県",6,0,5,83%,1,17%,0,0%
"福島県",4,2,4,100%,0,0%,0,0%
"岡山県",4,0,4,100%,0,0%,0,0%
"富山県",3,2,3,100%,0,0%,0,0%
"徳島県",3,2,2,67%,1,33%,0,0%
"宮崎県",3,0,2,67%,1,33%,0,0%
"香川県",2,1,2,100%,0,0%,0,0%
"佐賀県",2,1,2,100%,0,0%,0,0%
"長崎県",2,0,1,50%,1,50%,0,0%
"山形県",1,1,1,100%,0,0%,0,0%
"鹿児島県",1,0,1,100%,0,0%,0,0%
"総計",2107,220,1594,76%,456,22%,57,3%
