"",PCR検査陽性者,対前日比,人口一万人当たり,うち現在は入院等,うち退院,うち死亡,,,
"東京都",593,66,0.429,539,91%,47,8%,7,1%
"大阪府",279,34,0.317,207,74%,70,25%,2,1%
"北海道",182,5,0.344,44,24%,131,72%,7,4%
"愛知県",181,5,0.240,115,64%,47,26%,19,10%
"千葉県",175,11,0.280,151,86%,23,13%,1,1%
"兵庫県",161,14,0.294,132,82%,18,11%,11,7%
"神奈川県",138,18,0.150,104,75%,28,20%,6,4%
"埼玉県",101,3,0.138,77,76%,20,20%,4,4%
"京都府",71,3,0.274,55,77%,16,23%,0,0%
"福岡県",52,10,0.102,47,90%,5,10%,0,0%
"新潟県",31,0,0.138,21,68%,10,32%,0,0%
"大分県",29,0,0.253,28,97%,1,3%,0,0%
"茨城県",24,0,0.083,23,96%,0,0%,1,4%
"福井県",22,6,0.284,22,100%,0,0%,0,0%
"岐阜県",22,0,0.110,20,91%,2,9%,0,0%
"高知県",20,3,0.283,8,40%,12,60%,0,0%
"群馬県",20,1,0.102,19,95%,0,0%,1,5%
"和歌山県",18,1,0.193,4,22%,13,72%,1,6%
"奈良県",15,4,0.112,7,47%,8,53%,0,0%
"石川県",15,2,0.131,10,67%,5,33%,0,0%
"熊本県",15,1,0.085,12,80%,3,20%,0,0%
"栃木県",14,0,0.072,12,86%,2,14%,0,0%
"三重県",11,0,0.061,9,82%,2,18%,0,0%
"長野県",9,1,0.044,6,67%,3,33%,0,0%
"沖縄県",9,0,0.062,7,78%,2,22%,0,0%
"愛媛県",9,0,0.067,7,78%,2,22%,0,0%
"山梨県",8,2,0.098,6,75%,2,25%,0,0%
"滋賀県",8,1,0.057,5,63%,3,38%,0,0%
"青森県",8,0,0.063,8,100%,0,0%,0,0%
"宮城県",7,0,0.030,6,86%,1,14%,0,0%
"福島県",6,2,0.032,5,83%,1,17%,0,0%
"秋田県",6,0,0.061,4,67%,2,33%,0,0%
"静岡県",6,0,0.016,3,50%,3,50%,0,0%
"山口県",6,0,0.044,3,50%,3,50%,0,0%
"広島県",6,0,0.021,5,83%,1,17%,0,0%
"長崎県",5,3,0.037,4,80%,1,20%,0,0%
"富山県",5,3,0.048,5,100%,0,0%,0,0%
"佐賀県",4,2,0.049,4,100%,0,0%,0,0%
"岡山県",4,0,0.021,4,100%,0,0%,0,0%
"宮崎県",3,0,0.028,2,67%,1,33%,0,0%
"徳島県",3,0,0.041,2,67%,1,33%,0,0%
"鹿児島県",2,1,0.012,2,100%,0,0%,0,0%
"香川県",2,0,0.021,2,100%,0,0%,0,0%
"山形県",1,0,0.009,1,100%,0,0%,0,0%
"総計",2306,202,0.182,1757,76%,489,21%,60,3%
