"",4月7日(火),対前日比,人口一万人当たり,うち現在は入院等,うち退院,うち死亡,,,
"東京都",1203,80,0.870,1129,94%,58,5%,16,1%
"大阪府",482,53,0.547,396,82%,83,17%,3,1%
"千葉県",284,31,0.454,251,88%,32,11%,1,0%
"神奈川県",279,18,0.304,237,85%,35,13%,7,3%
"愛知県",258,21,0.342,185,72%,52,20%,21,8%
"兵庫県",216,15,0.394,151,70%,53,25%,12,6%
"埼玉県",209,14,0.285,182,87%,23,11%,4,2%
"北海道",198,4,0.375,46,23%,143,72%,9,5%
"京都府",139,20,0.536,121,87%,18,13%,0,0%
"福岡県",136,23,0.266,129,95%,7,5%,0,0%
"茨城県",77,6,0.268,74,96%,1,1%,2,3%
"福井県",57,0,0.736,54,95%,1,2%,2,4%
"石川県",51,6,0.446,46,90%,5,10%,0,0%
"岐阜県",51,0,0.255,47,92%,3,6%,1,2%
"高知県",36,2,0.510,24,67%,12,33%,0,0%
"新潟県",34,2,0.151,19,56%,15,44%,0,0%
"大分県",32,0,0.280,24,75%,8,25%,0,0%
"群馬県",29,3,0.149,27,93%,1,3%,1,3%
"奈良県",28,2,0.209,20,71%,8,29%,0,0%
"和歌山県",28,1,0.299,12,43%,15,54%,1,4%
"沖縄県",27,12,0.186,25,93%,2,7%,0,0%
"宮城県",27,1,0.117,26,96%,1,4%,0,0%
"福島県",24,8,0.129,23,96%,1,4%,0,0%
"愛媛県",23,9,0.170,18,78%,4,17%,1,4%
"熊本県",21,1,0.120,18,86%,3,14%,0,0%
"山形県",19,6,0.174,19,100%,0,0%,0,0%
"山梨県",19,5,0.233,17,89%,2,11%,0,0%
"広島県",19,3,0.067,18,95%,1,5%,0,0%
"滋賀県",18,0,0.127,15,83%,3,17%,0,0%
"栃木県",15,1,0.077,12,80%,3,20%,0,0%
"長野県",14,0,0.068,11,79%,3,21%,0,0%
"山口県",13,1,0.095,10,77%,3,23%,0,0%
"三重県",13,0,0.073,9,69%,4,31%,0,0%
"富山県",12,1,0.114,12,100%,0,0%,0,0%
"岡山県",12,1,0.063,12,100%,0,0%,0,0%
"秋田県",11,0,0.112,9,82%,2,18%,0,0%
"青森県",11,0,0.087,11,100%,0,0%,0,0%
"静岡県",10,0,0.027,7,70%,3,30%,0,0%
"佐賀県",9,1,0.110,8,89%,1,11%,0,0%
"長崎県",9,0,0.067,7,78%,2,22%,0,0%
"宮崎県",7,0,0.065,4,57%,3,43%,0,0%
"徳島県",3,0,0.041,2,67%,1,33%,0,0%
"鹿児島県",3,0,0.019,3,100%,0,0%,0,0%
"香川県",2,0,0.021,2,100%,0,0%,0,0%
"総計",4168,3920,0.330,3472,83%,615,15%,81,2%
