"",4 月9日(木),対前日比,人口一万人当たり,うち現在は入院等,うち退院,うち死亡,,,
"東京都",1528,181,1.105,1453,95%,57,4%,18,1%
"大阪府",589,64,0.668,465,79%,118,20%,6,1%
"神奈川県",375,48,0.409,332,89%,37,10%,6,2%
"千葉県",342,25,0.547,306,89%,35,10%,1,0%
"愛知県",299,21,0.397,225,75%,53,18%,21,7%
"兵庫県",273,57,0.498,203,74%,58,21%,12,4%
"埼玉県",271,29,0.370,241,89%,25,9%,5,2%
"北海道",226,18,0.428,71,31%,145,64%,10,4%
"福岡県",187,26,0.366,180,96%,7,4%,0,0%
"京都府",159,10,0.614,129,81%,29,18%,1,1%
"茨城県",81,4,0.282,75,93%,4,5%,2,2%
"岐阜県",76,7,0.381,70,92%,5,7%,1,1%
"石川県",72,6,0.630,67,93%,5,7%,0,0%
"福井県",72,5,0.930,67,93%,3,4%,2,3%
"高知県",47,10,0.666,35,74%,12,26%,0,0%
"沖縄県",42,10,0.290,39,93%,3,7%,0,0%
"大分県",41,0,0.358,31,76%,10,24%,0,0%
"新潟県",39,2,0.174,22,56%,17,44%,0,0%
"宮城県",36,2,0.155,35,97%,1,3%,0,0%
"奈良県",34,4,0.254,26,76%,8,24%,0,0%
"福島県",33,4,0.177,31,94%,2,6%,0,0%
"群馬県",33,4,0.169,28,85%,4,12%,1,3%
"和歌山県",32,3,0.342,16,50%,15,47%,1,3%
"栃木県",31,10,0.159,26,84%,5,16%,0,0%
"山形県",27,5,0.248,27,100%,0,0%,0,0%
"滋賀県",26,2,0.184,23,88%,3,12%,0,0%
"愛媛県",26,1,0.192,21,81%,4,15%,1,4%
"広島県",25,2,0.089,22,88%,3,12%,0,0%
"山梨県",24,2,0.294,22,92%,2,8%,0,0%
"熊本県",23,0,0.131,19,83%,4,17%,0,0%
"長野県",21,2,0.102,18,86%,3,14%,0,0%
"山口県",17,0,0.124,14,82%,3,18%,0,0%
"宮崎県",16,4,0.148,13,81%,3,19%,0,0%
"富山県",16,2,0.152,16,100%,0,0%,0,0%
"静岡県",16,1,0.044,13,81%,3,19%,0,0%
"岡山県",16,1,0.084,16,100%,0,0%,0,0%
"三重県",15,2,0.084,10,67%,5,33%,0,0%
"青森県",14,2,0.111,14,100%,0,0%,0,0%
"長崎県",14,2,0.104,12,86%,2,14%,0,0%
"秋田県",11,0,0.112,9,82%,2,18%,0,0%
"佐賀県",11,0,0.134,10,91%,1,9%,0,0%
"徳島県",3,0,0.041,2,67%,1,33%,0,0%
"香川県",3,0,0.031,3,100%,0,0%,0,0%
"鹿児島県",3,0,0.019,3,100%,0,0%,0,0%
"島根県",1,1,0.015,1,100%,0,0%,0,0%
"総計",5246,579,0.415,4461,85%,697,13%,88,2%
