"",4月10日(金),対前日比,人口一万人当たり,うち現在は入院等,うち退院,うち死亡,,,
"東京都",1717,189,1.242,1641,96%,57,3%,19,1%
"大阪府",697,108,0.791,570,82%,121,17%,6,1%
"神奈川県",425,50,0.463,375,88%,44,10%,6,1%
"千葉県",375,33,0.600,336,90%,37,10%,2,1%
"埼玉県",325,54,0.443,295,91%,25,8%,5,2%
"兵庫県",316,43,0.576,245,77%,59,19%,12,4%
"愛知県",313,14,0.415,228,73%,63,20%,22,7%
"北海道",239,13,0.452,80,33%,148,62%,11,5%
"福岡県",224,37,0.439,217,97%,7,3%,0,0%
"京都府",168,9,0.648,138,82%,29,18%,1,1%
"石川県",92,20,0.805,87,95%,5,5%,0,0%
"岐阜県",82,6,0.411,76,93%,5,6%,1,1%
"茨城県",82,1,0.285,72,88%,7,9%,3,4%
"福井県",76,4,0.982,68,89%,6,8%,2,3%
"高知県",52,5,0.737,40,77%,12,23%,0,0%
"沖縄県",49,7,0.338,46,94%,3,6%,0,0%
"大分県",42,1,0.367,32,76%,10,24%,0,0%
"新潟県",41,2,0.183,17,41%,24,59%,0,0%
"奈良県",37,3,0.276,29,78%,8,22%,0,0%
"宮城県",37,1,0.160,36,97%,1,3%,0,0%
"福島県",36,3,0.193,33,92%,3,8%,0,0%
"群馬県",35,2,0.179,29,83%,5,14%,1,3%
"静岡県",34,18,0.093,31,91%,3,9%,0,0%
"滋賀県",34,8,0.241,31,91%,3,9%,0,0%
"和歌山県",33,1,0.353,17,52%,15,45%,1,3%
"栃木県",31,0,0.159,26,84%,5,16%,0,0%
"長野県",28,7,0.136,25,89%,3,11%,0,0%
"愛媛県",28,2,0.207,23,82%,4,14%,1,4%
"山梨県",27,3,0.330,25,93%,2,7%,0,0%
"山形県",27,0,0.248,27,100%,0,0%,0,0%
"広島県",25,0,0.089,22,88%,3,12%,0,0%
"富山県",23,7,0.219,23,100%,0,0%,0,0%
"熊本県",23,0,0.131,18,78%,4,17%,1,4%
"山口県",17,0,0.124,14,82%,3,18%,0,0%
"宮崎県",16,0,0.148,13,81%,3,19%,0,0%
"岡山県",16,0,0.084,15,94%,1,6%,0,0%
"三重県",15,0,0.084,10,67%,5,33%,0,0%
"青森県",14,0,0.111,11,79%,3,21%,0,0%
"長崎県",14,0,0.104,12,86%,2,14%,0,0%
"秋田県",12,1,0.122,7,58%,5,42%,0,0%
"佐賀県",12,1,0.147,11,92%,1,8%,0,0%
"香川県",4,1,0.042,4,100%,0,0%,0,0%
"徳島県",3,0,0.041,2,67%,1,33%,0,0%
"鹿児島県",3,0,0.019,3,100%,0,0%,0,0%
"島根県",2,1,0.029,2,100%,0,0%,0,0%
"鳥取県",1,1,0.018,1,100%,0,0%,0,0%
"総計",5902,656,0.467,5063,86%,745,13%,94,2%
