"",4月25日(土),対前日比,人口一万人当たり,うち現在は入院等,うち退院,うち死亡,,,
"埼玉県",786,18,1.070,737,93.8%,34,4.3%,15,1.9%
"千葉県",778,10,1.240,662,85.1%,97,12.5%,19,2.4%
"東京都",3850,103,2.770,3772,98.0%,59,1.5%,19,0.5%
"神奈川県",943,31,1.030,798,84.6%,120,12.7%,25,2.7%
"大阪府",1477,29,1.680,1204,81.5%,246,16.7%,27,1.8%
"兵庫県",619,13,1.130,530,85.6%,72,11.6%,17,2.7%
"福岡県",595,11,1.170,442,74.3%,138,23.2%,15,2.5%
"",,,0,,,,,,
"北海道",601,39,1.140,375,62.4%,201,33.4%,25,4.2%
"茨城県",158,1,0.550,128,81.0%,24,15.2%,6,3.8%
"石川県",224,2,1.970,203,90.6%,16,7.1%,5,2.2%
"岐阜県",146,0,0.730,103,70.5%,36,24.7%,7,4.8%
"愛知県",475,1,0.630,379,79.8%,66,13.9%,30,6.3%
"京都府",290,4,1.120,146,50.3%,137,47.2%,7,2.4%
"",,,0,,,,,,
"青森県",22,0,0.180,8,36.4%,14,63.6%,0,0.0%
"岩手県",0,0,0.000,0,-,0,,0,-
"宮城県",85,1,0.370,54,63.5%,31,36.5%,0,0.0%
"秋田県",16,0,0.170,9,56.3%,7,43.8%,0,0.0%
"山形県",66,0,0.610,34,51.5%,32,48.5%,0,0.0%
"福島県",68,2,0.370,49,72.1%,19,27.9%,0,0.0%
"栃木県",52,0,0.270,39,75.0%,13,25.0%,0,0.0%
"群馬県",140,0,0.720,117,83.6%,14,10.0%,9,6.4%
"新潟県",65,0,0.290,32,49.2%,33,50.8%,0,0.0%
"富山県",175,12,1.680,163,93.1%,9,5.1%,3,1.7%
"福井県",120,0,1.560,82,68.3%,33,27.5%,5,4.2%
"山梨県",51,0,0.630,29,56.9%,22,43.1%,0,0.0%
"長野県",66,1,0.320,58,87.9%,8,12.1%,0,0.0%
"静岡県",62,3,0.170,49,79.0%,13,21.0%,0,0.0%
"三重県",45,0,0.250,28,62.2%,16,35.6%,1,2.2%
"滋賀県",94,1,0.660,71,75.5%,22,23.4%,1,1.1%
"奈良県",76,0,0.570,61,80.3%,14,18.4%,1,1.3%
"和歌山県",57,5,0.620,32,56.1%,24,42.1%,1,1.8%
"鳥取県",3,0,0.050,2,66.7%,1,33.3%,0,0.0%
"島根県",16,0,0.240,14,87.5%,2,12.5%,0,0.0%
"岡山県",21,0,0.110,16,76.2%,5,23.8%,0,0.0%
"広島県",143,1,0.510,128,89.5%,14,9.8%,1,0.7%
"山口県",31,0,0.230,13,41.9%,18,58.1%,0,0.0%
"徳島県",5,0,0.070,2,40.0%,3,60.0%,0,0.0%
"香川県",28,0,0.290,23,82.1%,5,17.9%,0,0.0%
"愛媛県",47,0,0.350,24,51.1%,20,42.6%,3,6.4%
"高知県",72,1,1.030,42,58.3%,28,38.9%,2,2.8%
"佐賀県",36,0,0.440,30,83.3%,6,16.7%,0,0.0%
"長崎県",16,0,0.120,9,56.3%,6,37.5%,1,6.3%
"熊本県",43,0,0.250,33,76.7%,9,20.9%,1,2.3%
"大分県",60,0,0.530,33,55.0%,26,43.3%,1,1.7%
"宮崎県",17,0,0.160,10,58.8%,7,41.2%,0,0.0%
"鹿児島県",10,0,0.060,7,70.0%,3,30.0%,0,0.0%
"沖縄県",133,0,0.920,118,88.7%,11,8.3%,4,3.0%
"その他",148,57,-,148,100.0%,0,0.0%,0,0.0%
"",,,,,,,,,
"総計",13031,346,1.030,11046,84.8%,1734,13.3%,251,1.9%
