"",4月26日(日),対前日比,人口一万人当たり,うち現在は入院等,うち退院,うち死亡,,,
"埼玉県",806,20,1.100,754,93.5%,36,4.5%,16,2.0%
"千葉県",786,8,1.260,670,85.2%,97,12.3%,19,2.4%
"東京都",3922,72,2.820,3844,98.0%,59,1.5%,19,0.5%
"神奈川県",959,16,1.040,813,84.8%,120,12.5%,26,2.7%
"大阪府",1493,16,1.690,1214,81.3%,252,16.9%,27,1.8%
"兵庫県",627,8,1.150,533,85.0%,77,12.3%,17,2.7%
"福岡県",606,11,1.190,443,73.1%,148,24.4%,15,2.5%
"",,,0,,,,,,
"北海道",615,14,1.170,388,63.1%,202,32.8%,25,4.1%
"茨城県",161,3,0.560,131,81.4%,24,14.9%,6,3.7%
"石川県",229,5,2.010,208,90.8%,16,7.0%,5,2.2%
"岐阜県",146,0,0.730,82,56.2%,57,39.0%,7,4.8%
"愛知県",476,1,0.630,380,79.8%,66,13.9%,30,6.3%
"京都府",294,4,1.140,145,49.3%,142,48.3%,7,2.4%
"",,,0,,,,,,
"青森県",22,0,0.180,8,36.4%,14,63.6%,0,0.0%
"岩手県",0,0,0.000,0,-,0,,0,-
"宮城県",85,0,0.370,54,63.5%,31,36.5%,0,0.0%
"秋田県",16,0,0.170,9,56.3%,7,43.8%,0,0.0%
"山形県",66,0,0.610,34,51.5%,32,48.5%,0,0.0%
"福島県",69,1,0.370,50,72.5%,19,27.5%,0,0.0%
"栃木県",52,0,0.270,39,75.0%,13,25.0%,0,0.0%
"群馬県",141,1,0.730,117,83.0%,15,10.6%,9,6.4%
"新潟県",69,4,0.310,37,53.6%,32,46.4%,0,0.0%
"富山県",177,2,1.700,165,93.2%,9,5.1%,3,1.7%
"福井県",121,1,1.580,83,68.6%,33,27.3%,5,4.1%
"山梨県",51,0,0.630,29,56.9%,22,43.1%,0,0.0%
"長野県",66,0,0.320,49,74.2%,17,25.8%,0,0.0%
"静岡県",63,1,0.170,50,79.4%,13,20.6%,0,0.0%
"三重県",45,0,0.250,28,62.2%,16,35.6%,1,2.2%
"滋賀県",94,0,0.660,71,75.5%,22,23.4%,1,1.1%
"奈良県",76,0,0.570,61,80.3%,14,18.4%,1,1.3%
"和歌山県",58,1,0.630,30,51.7%,27,46.6%,1,1.7%
"鳥取県",3,0,0.050,2,66.7%,1,33.3%,0,0.0%
"島根県",22,5,0.330,20,90.9%,2,9.1%,0,0.0%
"岡山県",22,1,0.120,17,77.3%,5,22.7%,0,0.0%
"広島県",145,1,0.520,129,89.0%,15,10.3%,1,0.7%
"山口県",31,0,0.230,13,41.9%,18,58.1%,0,0.0%
"徳島県",5,0,0.070,2,40.0%,3,60.0%,0,0.0%
"香川県",28,0,0.290,23,82.1%,5,17.9%,0,0.0%
"愛媛県",47,0,0.350,20,42.6%,24,51.1%,3,6.4%
"高知県",73,1,1.050,43,58.9%,28,38.4%,2,2.7%
"佐賀県",36,0,0.440,30,83.3%,6,16.7%,0,0.0%
"長崎県",16,0,0.120,9,56.3%,6,37.5%,1,6.3%
"熊本県",45,2,0.260,33,73.3%,11,24.4%,1,2.2%
"大分県",60,0,0.530,33,55.0%,26,43.3%,1,1.7%
"宮崎県",17,0,0.160,9,52.9%,8,47.1%,0,0.0%
"鹿児島県",10,0,0.060,7,70.0%,3,30.0%,0,0.0%
"沖縄県",133,0,0.920,118,88.7%,11,8.3%,4,3.0%
"その他",148,0,-,148,100.0%,0,0.0%,0,0.0%
"",,,,,,,,,
"総計",13232,199,1.050,11175,84.5%,1804,13.6%,253,1.9%
