"",4月28日(火),対前日比,人口一万人当たり,うち現在は入院等,うち退院,うち死亡,,,
"埼玉県",828,5,1.130,771,93.1%,42,5.1%,15,1.8%
"千葉県",801,8,1.280,677,84.5%,101,12.6%,23,2.9%
"東京都",4073,112,2.930,3995,98.1%,59,1.4%,19,0.5%
"神奈川県",975,10,1.060,796,81.6%,150,15.4%,29,3.0%
"大阪府",1555,32,1.770,1245,80.1%,274,17.6%,36,2.3%
"兵庫県",636,7,1.160,539,84.7%,80,12.6%,17,2.7%
"福岡県",619,4,1.210,433,70.0%,170,27.5%,16,2.6%
"",,,0,,,,,,
"北海道",688,38,1.310,460,66.9%,202,29.4%,26,3.8%
"茨城県",162,1,0.570,125,77.2%,31,19.1%,6,3.7%
"石川県",245,9,2.150,218,89.0%,22,9.0%,5,2.0%
"岐阜県",146,0,0.730,74,50.7%,65,44.5%,7,4.8%
"愛知県",482,5,0.640,385,79.9%,66,13.7%,31,6.4%
"京都府",313,4,1.210,165,52.7%,140,44.7%,8,2.6%
"",,,0,,,,,,
"青森県",26,3,0.210,12,46.2%,14,53.8%,0,0.0%
"岩手県",0,0,0.000,0,-,0,,0,-
"宮城県",87,1,0.380,55,63.2%,32,36.8%,0,0.0%
"秋田県",16,0,0.170,9,56.3%,7,43.8%,0,0.0%
"山形県",66,0,0.610,28,42.4%,38,57.6%,0,0.0%
"福島県",70,1,0.380,51,72.9%,19,27.1%,0,0.0%
"栃木県",54,0,0.280,41,75.9%,13,24.1%,0,0.0%
"群馬県",146,0,0.750,120,82.2%,15,10.3%,11,7.5%
"新潟県",75,5,0.340,43,57.3%,32,42.7%,0,0.0%
"富山県",190,9,1.820,178,93.7%,9,4.7%,3,1.6%
"福井県",122,1,1.590,53,43.4%,63,51.6%,6,4.9%
"山梨県",52,1,0.640,29,55.8%,23,44.2%,0,0.0%
"長野県",66,0,0.320,49,74.2%,17,25.8%,0,0.0%
"静岡県",67,3,0.180,43,64.2%,24,35.8%,0,0.0%
"三重県",45,0,0.250,28,62.2%,16,35.6%,1,2.2%
"滋賀県",94,0,0.660,71,75.5%,22,23.4%,1,1.1%
"奈良県",80,2,0.600,65,81.3%,14,17.5%,1,1.3%
"和歌山県",60,1,0.650,31,51.7%,27,45.0%,2,3.3%
"鳥取県",3,0,0.050,2,66.7%,1,33.3%,0,0.0%
"島根県",23,1,0.340,21,91.3%,2,8.7%,0,0.0%
"岡山県",22,0,0.120,17,77.3%,5,22.7%,0,0.0%
"広島県",149,4,0.530,128,85.9%,20,13.4%,1,0.7%
"山口県",32,0,0.240,9,28.1%,23,71.9%,0,0.0%
"徳島県",5,0,0.070,2,40.0%,3,60.0%,0,0.0%
"香川県",28,0,0.290,22,78.6%,6,21.4%,0,0.0%
"愛媛県",47,0,0.350,20,42.6%,24,51.1%,3,6.4%
"高知県",73,0,1.050,42,57.5%,28,38.4%,3,4.1%
"佐賀県",37,1,0.450,31,83.8%,6,16.2%,0,0.0%
"長崎県",16,0,0.120,6,37.5%,9,56.3%,1,6.3%
"熊本県",45,0,0.260,32,71.1%,12,26.7%,1,2.2%
"大分県",60,0,0.530,32,53.3%,27,45.0%,1,1.7%
"宮崎県",17,0,0.160,7,41.2%,10,58.8%,0,0.0%
"鹿児島県",10,0,0.060,6,60.0%,4,40.0%,0,0.0%
"沖縄県",141,4,0.970,113,80.1%,24,17.0%,4,2.8%
"その他",148,0,-,148,100.0%,0,0.0%,0,0.0%
"",,,,,,,,,
"総計",13695,272,1.090,11427,83.4%,1991,14.5%,277,2.0%
