"",4月29日(水),対前日比,人口一万人当たり,うち現在は入院等,うち退院,うち死亡,,,
"埼玉県",843,15,1.150,779,92.4%,49,5.8%,15,1.8%
"千葉県",806,5,1.290,681,84.5%,102,12.7%,23,2.9%
"東京都",4120,47,2.960,4042,98.1%,59,1.4%,19,0.5%
"神奈川県",1002,27,1.090,821,81.9%,150,15.0%,31,3.1%
"大阪府",1599,44,1.820,1281,80.1%,281,17.6%,37,2.3%
"兵庫県",642,4,1.170,544,84.7%,81,12.6%,17,2.6%
"福岡県",639,14,1.250,452,70.7%,170,26.6%,17,2.7%
"",,,0,,,,,,
"北海道",726,38,1.380,491,67.6%,209,28.8%,26,3.6%
"茨城県",162,0,0.570,123,75.9%,33,20.4%,6,3.7%
"石川県",250,5,2.200,222,88.8%,22,8.8%,6,2.4%
"岐阜県",146,0,0.730,74,50.7%,65,44.5%,7,4.8%
"愛知県",486,4,0.640,388,79.8%,67,13.8%,31,6.4%
"京都府",316,3,1.220,151,47.8%,156,49.4%,9,2.8%
"",,,0,,,,,,
"青森県",26,0,0.210,12,46.2%,14,53.8%,0,0.0%
"岩手県",0,0,0.000,0,-,0,,0,-
"宮城県",88,0,0.380,56,63.6%,32,36.4%,0,0.0%
"秋田県",16,0,0.170,9,56.3%,7,43.8%,0,0.0%
"山形県",68,1,0.630,30,44.1%,38,55.9%,0,0.0%
"福島県",72,2,0.390,53,73.6%,19,26.4%,0,0.0%
"栃木県",54,0,0.280,41,75.9%,13,24.1%,0,0.0%
"群馬県",146,0,0.750,116,79.5%,15,10.3%,15,10.3%
"新潟県",75,0,0.340,43,57.3%,32,42.7%,0,0.0%
"富山県",190,0,1.820,178,93.7%,9,4.7%,3,1.6%
"福井県",122,0,1.590,51,41.8%,64,52.5%,7,5.7%
"山梨県",52,0,0.640,28,53.8%,24,46.2%,0,0.0%
"長野県",66,0,0.320,49,74.2%,17,25.8%,0,0.0%
"静岡県",68,1,0.190,44,64.7%,24,35.3%,0,0.0%
"三重県",45,0,0.250,25,55.6%,19,42.2%,1,2.2%
"滋賀県",96,0,0.680,60,62.5%,35,36.5%,1,1.0%
"奈良県",82,2,0.620,67,81.7%,14,17.1%,1,1.2%
"和歌山県",60,0,0.650,30,50.0%,28,46.7%,2,3.3%
"鳥取県",3,0,0.050,2,66.7%,1,33.3%,0,0.0%
"島根県",23,0,0.340,20,87.0%,3,13.0%,0,0.0%
"岡山県",23,1,0.120,18,78.3%,5,21.7%,0,0.0%
"広島県",153,0,0.550,132,86.3%,20,13.1%,1,0.7%
"山口県",32,0,0.240,8,25.0%,24,75.0%,0,0.0%
"徳島県",5,0,0.070,2,40.0%,3,60.0%,0,0.0%
"香川県",28,0,0.290,21,75.0%,7,25.0%,0,0.0%
"愛媛県",47,0,0.350,20,42.6%,24,51.1%,3,6.4%
"高知県",74,1,1.060,43,58.1%,28,37.8%,3,4.1%
"佐賀県",38,0,0.470,32,84.2%,6,15.8%,0,0.0%
"長崎県",17,0,0.130,7,41.2%,9,52.9%,1,5.9%
"熊本県",47,0,0.270,34,72.3%,12,25.5%,1,2.1%
"大分県",60,0,0.530,31,51.7%,28,46.7%,1,1.7%
"宮崎県",17,0,0.160,7,41.2%,10,58.8%,0,0.0%
"鹿児島県",10,0,0.060,6,60.0%,4,40.0%,0,0.0%
"沖縄県",141,0,0.970,113,80.1%,24,17.0%,4,2.8%
"その他",148,0,-,148,100.0%,0,0.0%,0,0.0%
"",,,,,,,,,
"総計",13929,214,1.100,11585,83.2%,2056,14.8%,288,2.1%
