"",4月30日(木),対前日比,人口一万人当たり,うち現在は入院等,うち退院,うち死亡,,,
"埼玉県",851,8,1.160,785,92.2%,49,5.8%,17,2.0%
"千葉県",810,4,1.290,683,84.3%,103,12.7%,24,3.0%
"東京都",4166,46,2.990,4088,98.1%,59,1.4%,19,0.5%
"神奈川県",1028,26,1.120,828,80.5%,168,16.3%,32,3.1%
"大阪府",1627,28,1.850,1035,63.6%,551,33.9%,41,2.5%
"兵庫県",645,3,1.180,547,84.8%,81,12.6%,17,2.6%
"福岡県",642,3,1.260,455,70.9%,170,26.5%,17,2.6%
"",,,0,,,,,,
"北海道",767,41,1.460,531,69.2%,209,27.2%,27,3.5%
"茨城県",163,1,0.570,121,74.2%,35,21.5%,7,4.3%
"石川県",251,1,2.210,223,88.8%,22,8.8%,6,2.4%
"岐阜県",146,0,0.730,74,50.7%,65,44.5%,7,4.8%
"愛知県",488,2,0.650,381,78.1%,75,15.4%,32,6.6%
"京都府",319,3,1.230,151,47.3%,159,49.8%,9,2.8%
"",,,0,,,,,,
"青森県",26,0,0.210,12,46.2%,14,53.8%,0,0.0%
"岩手県",0,0,0.000,0,-,0,,0,-
"宮城県",88,0,0.380,56,63.6%,32,36.4%,0,0.0%
"秋田県",16,0,0.170,9,56.3%,7,43.8%,0,0.0%
"山形県",68,0,0.630,30,44.1%,38,55.9%,0,0.0%
"福島県",73,1,0.400,54,74.0%,19,26.0%,0,0.0%
"栃木県",54,0,0.280,38,70.4%,16,29.6%,0,0.0%
"群馬県",146,0,0.750,116,79.5%,15,10.3%,15,10.3%
"新潟県",75,0,0.340,43,57.3%,32,42.7%,0,0.0%
"富山県",202,10,1.930,186,92.1%,9,4.5%,7,3.5%
"福井県",122,0,1.590,45,36.9%,69,56.6%,8,6.6%
"山梨県",52,0,0.640,28,53.8%,24,46.2%,0,0.0%
"長野県",66,0,0.320,49,74.2%,17,25.8%,0,0.0%
"静岡県",72,4,0.200,47,65.3%,24,33.3%,1,1.4%
"三重県",45,0,0.250,25,55.6%,19,42.2%,1,2.2%
"滋賀県",96,0,0.680,60,62.5%,35,36.5%,1,1.0%
"奈良県",82,0,0.620,67,81.7%,14,17.1%,1,1.2%
"和歌山県",62,2,0.670,32,51.6%,28,45.2%,2,3.2%
"鳥取県",3,0,0.050,2,66.7%,1,33.3%,0,0.0%
"島根県",23,0,0.340,16,69.6%,7,30.4%,0,0.0%
"岡山県",23,0,0.120,13,56.5%,10,43.5%,0,0.0%
"広島県",155,0,0.550,124,80.0%,29,18.7%,2,1.3%
"山口県",32,0,0.240,8,25.0%,24,75.0%,0,0.0%
"徳島県",5,0,0.070,2,40.0%,3,60.0%,0,0.0%
"香川県",28,0,0.290,21,75.0%,7,25.0%,0,0.0%
"愛媛県",47,0,0.350,19,40.4%,25,53.2%,3,6.4%
"高知県",74,0,1.060,43,58.1%,28,37.8%,3,4.1%
"佐賀県",41,3,0.500,34,82.9%,7,17.1%,0,0.0%
"長崎県",17,0,0.130,7,41.2%,9,52.9%,1,5.9%
"熊本県",47,0,0.270,33,70.2%,13,27.7%,1,2.1%
"大分県",60,0,0.530,29,48.3%,30,50.0%,1,1.7%
"宮崎県",17,0,0.160,6,35.3%,11,64.7%,0,0.0%
"鹿児島県",10,0,0.060,6,60.0%,4,40.0%,0,0.0%
"沖縄県",142,1,0.980,114,80.3%,24,16.9%,4,2.8%
"その他",148,0,-,148,100.0%,0,0.0%,0,0.0%
"",,,,,,,,,
"総計",14120,187,1.120,11424,80.9%,2390,16.9%,306,2.2%
