"",5月01日(金),対前日比,人口一万人当たり,うち現在は入院等,うち退院,うち死亡,,,
"埼玉県",857,6,1.170,788,91.9%,52,6.1%,17,2.0%
"千葉県",816,6,1.300,686,84.1%,105,12.9%,25,3.1%
"東京都",4331,165,3.110,4253,98.2%,59,1.4%,19,0.4%
"神奈川県",1042,14,1.130,838,80.4%,172,16.5%,32,3.1%
"大阪府",1641,14,1.860,1042,63.5%,555,33.8%,44,2.7%
"兵庫県",650,5,1.190,549,84.5%,83,12.8%,18,2.8%
"福岡県",645,3,1.260,458,71.0%,170,26.4%,17,2.6%
"",0,0,,0,,0,,,
"北海道",790,23,1.500,513,64.9%,248,31.4%,29,3.7%
"茨城県",165,2,0.580,123,74.5%,35,21.2%,7,4.2%
"石川県",254,3,2.230,224,88.2%,23,9.1%,7,2.8%
"岐阜県",149,0,0.750,73,49.0%,70,47.0%,6,4.0%
"愛知県",491,3,0.650,384,78.2%,75,15.3%,32,6.5%
"京都府",323,4,1.250,154,47.7%,159,49.2%,10,3.1%
"",0,0,,,0,,0,,
"青森県",26,0,0.210,12,46.2%,14,53.8%,0,0.0%
"岩手県",0,0,0.000,0,-,0,,0,-
"宮城県",88,0,0.380,38,43.2%,50,56.8%,0,0.0%
"秋田県",16,0,0.170,3,18.8%,13,81.3%,0,0.0%
"山形県",68,0,0.630,20,29.4%,48,70.6%,0,0.0%
"福島県",74,1,0.400,55,74.3%,19,25.7%,0,0.0%
"栃木県",54,0,0.280,38,70.4%,16,29.6%,0,0.0%
"群馬県",146,0,0.750,116,79.5%,15,10.3%,15,10.3%
"新潟県",77,2,0.350,45,58.4%,32,41.6%,0,0.0%
"富山県",201,1,1.930,185,92.0%,9,4.5%,7,3.5%
"福井県",122,0,1.590,45,36.9%,69,56.6%,8,6.6%
"山梨県",54,1,0.670,25,46.3%,29,53.7%,0,0.0%
"長野県",66,0,0.320,49,74.2%,17,25.8%,0,0.0%
"静岡県",73,1,0.200,48,65.8%,24,32.9%,1,1.4%
"三重県",45,0,0.250,25,55.6%,19,42.2%,1,2.2%
"滋賀県",96,0,0.680,60,62.5%,35,36.5%,1,1.0%
"奈良県",85,3,0.640,70,82.4%,14,16.5%,1,1.2%
"和歌山県",62,0,0.670,32,51.6%,28,45.2%,2,3.2%
"鳥取県",3,0,0.050,2,66.7%,1,33.3%,0,0.0%
"島根県",23,0,0.340,16,69.6%,7,30.4%,0,0.0%
"岡山県",23,0,0.120,13,56.5%,10,43.5%,0,0.0%
"広島県",156,1,0.560,125,80.1%,29,18.6%,2,1.3%
"山口県",34,2,0.250,10,29.4%,24,70.6%,0,0.0%
"徳島県",5,0,0.070,2,40.0%,3,60.0%,0,0.0%
"香川県",28,0,0.290,21,75.0%,7,25.0%,0,0.0%
"愛媛県",47,0,0.350,19,40.4%,25,53.2%,3,6.4%
"高知県",74,0,1.060,22,29.7%,49,66.2%,3,4.1%
"佐賀県",42,1,0.520,35,83.3%,7,16.7%,0,0.0%
"長崎県",17,0,0.130,7,41.2%,9,52.9%,1,5.9%
"熊本県",47,0,0.270,33,70.2%,13,27.7%,1,2.1%
"大分県",60,0,0.530,28,46.7%,31,51.7%,1,1.7%
"宮崎県",17,0,0.160,6,35.3%,11,64.7%,0,0.0%
"鹿児島県",10,0,0.060,6,60.0%,4,40.0%,0,0.0%
"沖縄県",142,0,0.980,114,80.3%,24,16.9%,4,2.8%
"その他",148,0,-,148,100.0%,0,0.0%,0,0.0%
"",,,,,,,,,
"総計",14383,261,1.140,11558,80.4%,2511,17.5%,314,2.2%
