"",5月4日(月),対前日比,人口一万人当たり,うち現在は入院等,うち退院,うち死亡,,,
"埼玉県",894,6,1.220,814,91.1%,54,6.0%,26,2.9%
"千葉県",834,6,1.330,697,83.6%,111,13.3%,26,3.1%
"東京都",4669,87,3.350,4591,98.3%,59,1.3%,19,0.4%
"神奈川県",1111,10,1.210,886,79.7%,185,16.7%,40,3.6%
"大阪府",1682,13,1.910,1054,62.7%,576,34.2%,52,3.1%
"兵庫県",667,0,1.220,559,83.8%,90,13.5%,18,2.7%
"福岡県",649,1,1.270,454,70.0%,173,26.7%,22,3.4%
"",,,,,,,,,
"北海道",879,32,1.670,589,67.0%,254,28.9%,36,4.1%
"茨城県",167,2,0.580,98,58.7%,61,36.5%,8,4.8%
"石川県",267,3,2.350,231,86.5%,23,8.6%,13,4.9%
"岐阜県",150,0,0.750,63,42.0%,81,54.0%,6,4.0%
"愛知県",495,3,0.660,386,78.0%,75,15.2%,34,6.9%
"京都府",334,3,1.290,147,44.0%,176,52.7%,11,3.3%
"",,0,,,,,,,
"青森県",26,0,0.210,12,46.2%,14,53.8%,0,0.0%
"岩手県",0,0,0.000,0,-,0,,0,-
"宮城県",88,0,0.380,27,30.7%,61,69.3%,0,0.0%
"秋田県",16,0,0.170,3,18.8%,13,81.3%,0,0.0%
"山形県",69,1,0.640,15,21.7%,54,78.3%,0,0.0%
"福島県",78,0,0.420,59,75.6%,19,24.4%,0,0.0%
"栃木県",54,0,0.280,32,59.3%,22,40.7%,0,0.0%
"群馬県",146,0,0.750,94,64.4%,36,24.7%,16,11.0%
"新潟県",77,0,0.350,45,58.4%,32,41.6%,0,0.0%
"富山県",212,0,2.030,165,77.8%,37,17.5%,10,4.7%
"福井県",122,0,1.590,36,29.5%,78,63.9%,8,6.6%
"山梨県",56,0,0.690,27,48.2%,29,51.8%,0,0.0%
"長野県",72,2,0.350,44,61.1%,28,38.9%,0,0.0%
"静岡県",73,0,0.200,48,65.8%,24,32.9%,1,1.4%
"三重県",45,0,0.250,25,55.6%,19,42.2%,1,2.2%
"滋賀県",98,2,0.690,62,63.3%,35,35.7%,1,1.0%
"奈良県",87,0,0.650,47,54.0%,38,43.7%,2,2.3%
"和歌山県",62,0,0.670,25,40.3%,35,56.5%,2,3.2%
"鳥取県",3,0,0.050,2,66.7%,1,33.3%,0,0.0%
"島根県",24,0,0.360,17,70.8%,7,29.2%,0,0.0%
"岡山県",23,0,0.120,13,56.5%,10,43.5%,0,0.0%
"広島県",162,0,0.580,125,77.2%,35,21.6%,2,1.2%
"山口県",36,1,0.270,12,33.3%,24,66.7%,0,0.0%
"徳島県",5,0,0.070,1,20.0%,3,60.0%,1,20.0%
"香川県",28,0,0.290,17,60.7%,11,39.3%,0,0.0%
"愛媛県",48,0,0.360,14,29.2%,31,64.6%,3,6.3%
"高知県",74,0,1.060,22,29.7%,49,66.2%,3,4.1%
"佐賀県",45,1,0.550,35,77.8%,10,22.2%,0,0.0%
"長崎県",17,0,0.130,6,35.3%,10,58.8%,1,5.9%
"熊本県",47,0,0.270,32,68.1%,13,27.7%,2,4.3%
"大分県",60,0,0.530,27,45.0%,32,53.3%,1,1.7%
"宮崎県",17,0,0.160,6,35.3%,11,64.7%,0,0.0%
"鹿児島県",10,0,0.060,6,60.0%,4,40.0%,0,0.0%
"沖縄県",142,0,0.980,114,80.3%,24,16.9%,4,2.8%
"その他",149,1,-,149,100.0%,0,0.0%,0,0.0%
"",,,,,,,,,
"総計",15069,174,1.190,11933,79.2%,2767,18.4%,369,2.4%
